date,province,code,pop,total,new_pfizer,new_astrazeneca,new_moderna,new_johnson,second_dose,booster_jab
2021-02-06,Blagoevgrad,BLG,302694,1565,42,0,0,0,0,0
2021-02-06,Burgas,BGS,409265,3029,227,0,0,0,0,0
2021-02-06,Dobrich,DOB,171809,857,42,0,0,0,0,0
2021-02-06,Gabrovo,GAB,106598,1010,12,0,0,0,0,0
2021-02-06,Haskovo,HKV,225317,1059,0,0,0,0,0,0
2021-02-06,Kardzhali,KRZ,158204,588,24,0,0,0,0,0
2021-02-06,Kyustendil,KNL,116915,824,36,0,0,0,0,0
2021-02-06,Lovech,LOV,122546,962,31,0,0,0,0,0
2021-02-06,Montana,MON,127001,741,0,0,0,0,0,0
2021-02-06,Pazardzhik,PAZ,252776,1802,42,0,0,0,0,0
2021-02-06,Pernik,PER,119190,643,48,0,0,0,0,0
2021-02-06,Pleven,PVN,236305,2349,192,0,0,0,0,0
2021-02-06,Plovdiv,PDV,666801,5704,252,0,0,0,0,0
2021-02-06,Razgrad,RAZ,110789,670,0,0,0,0,0,0
2021-02-06,Ruse,RSE,215477,1708,144,0,0,0,0,0
2021-02-06,Shumen,SHU,172262,1004,37,0,0,0,0,0
2021-02-06,Silistra,SLS,108018,696,54,0,0,0,0,0
2021-02-06,Sliven,SLV,184119,885,0,0,0,0,0,0
2021-02-06,Smolyan,SML,103532,610,78,0,0,0,0,0
2021-02-06,Sofiya-Grad,SOF,1328790,16030,646,0,300,0,0,0
2021-02-06,Sofiya-Oblast,SFO,226671,1606,89,0,0,0,0,0
2021-02-06,Stara Zagora,SZR,313396,1881,114,0,0,0,0,0
2021-02-06,Targovishte,TGV,110914,612,5,0,0,0,0,0
2021-02-06,Varna,VAR,469885,4162,226,0,0,0,0,0
2021-02-06,Veliko Tarnovo,VTR,232568,1605,72,0,0,0,0,0
2021-02-06,Vidin,VID,82835,493,18,0,0,0,0,0
2021-02-06,Vratsa,VRC,159470,930,10,0,0,0,0,0
2021-02-06,Yambol,JAM,117335,626,94,0,0,0,0,0
2021-02-07,Blagoevgrad,BLG,302694,1607,0,0,0,0,0,0
2021-02-07,Burgas,BGS,409265,3256,60,0,0,0,0,0
2021-02-07,Dobrich,DOB,171809,899,18,0,0,0,0,0
2021-02-07,Gabrovo,GAB,106598,1022,0,0,0,0,0,0
2021-02-07,Haskovo,HKV,225317,1059,0,0,0,0,0,0
2021-02-07,Kardzhali,KRZ,158204,612,0,0,0,0,0,0
2021-02-07,Kyustendil,KNL,116915,860,0,0,0,0,0,0
2021-02-07,Lovech,LOV,122546,993,0,0,0,0,0,0
2021-02-07,Montana,MON,127001,741,0,0,0,0,0,0
2021-02-07,Pazardzhik,PAZ,252776,1844,0,0,0,0,0,0
2021-02-07,Pernik,PER,119190,691,0,0,0,0,0,0
2021-02-07,Pleven,PVN,236305,2541,0,0,0,0,0,0
2021-02-07,Plovdiv,PDV,666801,5956,0,0,0,0,0,0
2021-02-07,Razgrad,RAZ,110789,670,0,0,0,0,0,0
2021-02-07,Ruse,RSE,215477,1852,0,0,0,0,0,0
2021-02-07,Shumen,SHU,172262,1041,0,0,0,0,0,0
2021-02-07,Silistra,SLS,108018,750,0,0,0,0,0,0
2021-02-07,Sliven,SLV,184119,885,0,0,0,0,0,0
2021-02-07,Smolyan,SML,103532,688,0,0,0,0,0,0
2021-02-07,Sofiya-Grad,SOF,1328790,16976,0,0,0,0,0,0
2021-02-07,Sofiya-Oblast,SFO,226671,1695,24,0,0,0,0,0
2021-02-07,Stara Zagora,SZR,313396,1995,12,0,0,0,0,0
2021-02-07,Targovishte,TGV,110914,617,0,0,0,0,0,0
2021-02-07,Varna,VAR,469885,4388,30,0,0,0,0,0
2021-02-07,Veliko Tarnovo,VTR,232568,1677,12,0,0,0,0,0
2021-02-07,Vidin,VID,82835,511,0,0,0,0,0,0
2021-02-07,Vratsa,VRC,159470,940,0,0,0,0,0,0
2021-02-07,Yambol,JAM,117335,720,0,0,0,0,0,0
2021-02-08,Blagoevgrad,BLG,302694,1607,0,0,0,0,0,0
2021-02-08,Burgas,BGS,409265,3316,0,0,0,0,0,0
2021-02-08,Dobrich,DOB,171809,917,0,0,0,0,0,0
2021-02-08,Gabrovo,GAB,106598,1022,0,0,0,0,0,0
2021-02-08,Haskovo,HKV,225317,1059,0,0,0,0,0,0
2021-02-08,Kardzhali,KRZ,158204,612,0,0,0,0,0,0
2021-02-08,Kyustendil,KNL,116915,860,0,0,0,0,0,0
2021-02-08,Lovech,LOV,122546,993,0,0,0,0,0,0
2021-02-08,Montana,MON,127001,741,0,0,0,0,0,0
2021-02-08,Pazardzhik,PAZ,252776,1844,0,0,0,0,0,0
2021-02-08,Pernik,PER,119190,691,0,0,0,0,0,0
2021-02-08,Pleven,PVN,236305,2541,0,0,0,0,0,0
2021-02-08,Plovdiv,PDV,666801,5956,0,0,0,0,0,0
2021-02-08,Razgrad,RAZ,110789,670,0,0,0,0,0,0
2021-02-08,Ruse,RSE,215477,1852,0,0,0,0,0,0
2021-02-08,Shumen,SHU,172262,1041,0,0,0,0,0,0
2021-02-08,Silistra,SLS,108018,750,0,0,0,0,0,0
2021-02-08,Sliven,SLV,184119,885,0,0,0,0,0,0
2021-02-08,Smolyan,SML,103532,688,0,0,0,0,0,0
2021-02-08,Sofiya-Grad,SOF,1328790,16976,0,10,0,0,0,0
2021-02-08,Sofiya-Oblast,SFO,226671,1719,0,0,0,0,0,0
2021-02-08,Stara Zagora,SZR,313396,2007,0,0,0,0,0,0
2021-02-08,Targovishte,TGV,110914,617,0,0,0,0,0,0
2021-02-08,Varna,VAR,469885,4418,0,0,0,0,0,0
2021-02-08,Veliko Tarnovo,VTR,232568,1689,12,0,0,0,0,0
2021-02-08,Vidin,VID,82835,511,0,0,0,0,0,0
2021-02-08,Vratsa,VRC,159470,940,0,0,0,0,0,0
2021-02-08,Yambol,JAM,117335,720,0,0,0,0,0,0
2021-02-09,Blagoevgrad,BLG,302694,1607,0,0,0,0,0,0
2021-02-09,Burgas,BGS,409265,3316,167,0,0,0,0,0
2021-02-09,Dobrich,DOB,171809,917,48,0,0,0,0,0
2021-02-09,Gabrovo,GAB,106598,1022,0,0,0,0,0,0
2021-02-09,Haskovo,HKV,225317,1059,0,0,0,0,0,0
2021-02-09,Kardzhali,KRZ,158204,612,36,0,0,0,0,0
2021-02-09,Kyustendil,KNL,116915,860,24,0,0,0,0,0
2021-02-09,Lovech,LOV,122546,993,0,0,0,0,0,0
2021-02-09,Montana,MON,127001,741,0,0,0,0,0,0
2021-02-09,Pazardzhik,PAZ,252776,1844,0,0,0,0,0,0
2021-02-09,Pernik,PER,119190,691,0,0,0,0,0,0
2021-02-09,Pleven,PVN,236305,2541,24,0,0,0,0,0
2021-02-09,Plovdiv,PDV,666801,5956,107,0,0,0,0,0
2021-02-09,Razgrad,RAZ,110789,670,50,0,0,0,0,0
2021-02-09,Ruse,RSE,215477,1852,0,0,0,0,0,0
2021-02-09,Shumen,SHU,172262,1041,48,0,0,0,0,0
2021-02-09,Silistra,SLS,108018,750,0,0,0,0,0,0
2021-02-09,Sliven,SLV,184119,885,0,0,0,0,0,0
2021-02-09,Smolyan,SML,103532,688,0,0,0,0,0,0
2021-02-09,Sofiya-Grad,SOF,1328790,16986,663,33,272,0,0,0
2021-02-09,Sofiya-Oblast,SFO,226671,1719,37,0,0,0,0,0
2021-02-09,Stara Zagora,SZR,313396,2007,26,0,0,0,0,0
2021-02-09,Targovishte,TGV,110914,617,30,0,0,0,0,0
2021-02-09,Varna,VAR,469885,4418,271,0,0,0,0,0
2021-02-09,Veliko Tarnovo,VTR,232568,1701,0,0,0,0,0,0
2021-02-09,Vidin,VID,82835,511,0,0,0,0,0,0
2021-02-09,Vratsa,VRC,159470,940,12,0,0,0,0,0
2021-02-09,Yambol,JAM,117335,720,2,0,0,0,0,0
2021-02-10,Blagoevgrad,BLG,302694,1607,151,0,0,0,0,0
2021-02-10,Burgas,BGS,409265,3483,133,0,0,0,0,0
2021-02-10,Dobrich,DOB,171809,965,108,0,0,0,0,0
2021-02-10,Gabrovo,GAB,106598,1022,18,0,0,0,0,0
2021-02-10,Haskovo,HKV,225317,1059,48,0,0,0,0,0
2021-02-10,Kardzhali,KRZ,158204,648,42,0,0,0,0,0
2021-02-10,Kyustendil,KNL,116915,884,6,0,0,0,0,0
2021-02-10,Lovech,LOV,122546,993,0,0,0,0,0,0
2021-02-10,Montana,MON,127001,741,72,0,0,0,0,0
2021-02-10,Pazardzhik,PAZ,252776,1844,0,0,0,0,0,0
2021-02-10,Pernik,PER,119190,691,36,0,0,0,0,0
2021-02-10,Pleven,PVN,236305,2565,0,0,0,0,0,0
2021-02-10,Plovdiv,PDV,666801,6063,366,0,0,0,0,0
2021-02-10,Razgrad,RAZ,110789,720,216,0,0,0,0,0
2021-02-10,Ruse,RSE,215477,1852,90,0,0,0,0,0
2021-02-10,Shumen,SHU,172262,1089,167,0,0,0,0,0
2021-02-10,Silistra,SLS,108018,750,0,0,0,0,0,0
2021-02-10,Sliven,SLV,184119,885,96,0,0,0,0,0
2021-02-10,Smolyan,SML,103532,688,0,0,0,0,0,0
2021-02-10,Sofiya-Grad,SOF,1328790,17954,1082,10,158,0,0,0
2021-02-10,Sofiya-Oblast,SFO,226671,1756,90,0,0,0,0,0
2021-02-10,Stara Zagora,SZR,313396,2033,132,0,0,0,0,0
2021-02-10,Targovishte,TGV,110914,647,72,0,0,0,0,0
2021-02-10,Varna,VAR,469885,4689,278,0,0,0,0,0
2021-02-10,Veliko Tarnovo,VTR,232568,1701,0,0,0,0,0,0
2021-02-10,Vidin,VID,82835,511,34,0,0,0,0,0
2021-02-10,Vratsa,VRC,159470,952,135,0,0,0,0,0
2021-02-10,Yambol,JAM,117335,722,0,0,0,0,0,0
2021-02-11,Blagoevgrad,BLG,302694,1758,100,0,0,0,0,0
2021-02-11,Burgas,BGS,409265,3616,164,0,0,0,0,0
2021-02-11,Dobrich,DOB,171809,1073,120,0,0,0,0,0
2021-02-11,Gabrovo,GAB,106598,1040,76,0,0,0,0,0
2021-02-11,Haskovo,HKV,225317,1107,144,0,0,0,0,0
2021-02-11,Kardzhali,KRZ,158204,690,18,0,0,0,0,0
2021-02-11,Kyustendil,KNL,116915,890,24,0,0,0,0,0
2021-02-11,Lovech,LOV,122546,993,72,0,0,0,0,0
2021-02-11,Montana,MON,127001,813,36,0,0,0,0,0
2021-02-11,Pazardzhik,PAZ,252776,1844,36,0,0,0,0,0
2021-02-11,Pernik,PER,119190,727,48,0,0,0,0,0
2021-02-11,Pleven,PVN,236305,2565,120,0,0,0,0,0
2021-02-11,Plovdiv,PDV,666801,6429,326,0,10,0,0,0
2021-02-11,Razgrad,RAZ,110789,936,0,0,0,0,0,0
2021-02-11,Ruse,RSE,215477,1942,126,0,0,0,0,0
2021-02-11,Shumen,SHU,172262,1256,168,0,0,0,0,0
2021-02-11,Silistra,SLS,108018,750,18,0,0,0,0,0
2021-02-11,Sliven,SLV,184119,981,138,0,0,0,0,0
2021-02-11,Smolyan,SML,103532,688,6,0,0,0,0,0
2021-02-11,Sofiya-Grad,SOF,1328790,19204,882,217,102,0,0,0
2021-02-11,Sofiya-Oblast,SFO,226671,1846,114,0,0,0,0,0
2021-02-11,Stara Zagora,SZR,313396,2165,126,0,0,0,0,0
2021-02-11,Targovishte,TGV,110914,719,108,0,0,0,0,0
2021-02-11,Varna,VAR,469885,4967,267,0,0,0,0,0
2021-02-11,Veliko Tarnovo,VTR,232568,1701,35,0,0,0,0,0
2021-02-11,Vidin,VID,82835,545,66,0,0,0,0,0
2021-02-11,Vratsa,VRC,159470,1087,44,0,0,0,0,0
2021-02-11,Yambol,JAM,117335,722,24,0,0,0,0,0
2021-02-12,Blagoevgrad,BLG,302694,1858,54,0,0,0,0,0
2021-02-12,Burgas,BGS,409265,3780,172,0,0,0,0,0
2021-02-12,Dobrich,DOB,171809,1193,126,0,0,0,0,0
2021-02-12,Gabrovo,GAB,106598,1116,92,0,0,0,0,0
2021-02-12,Haskovo,HKV,225317,1251,126,0,0,0,0,0
2021-02-12,Kardzhali,KRZ,158204,708,54,0,0,0,0,0
2021-02-12,Kyustendil,KNL,116915,914,34,0,0,0,0,0
2021-02-12,Lovech,LOV,122546,1065,90,0,0,0,0,0
2021-02-12,Montana,MON,127001,849,36,0,0,0,0,0
2021-02-12,Pazardzhik,PAZ,252776,1880,168,0,0,0,0,0
2021-02-12,Pernik,PER,119190,775,42,0,0,0,0,0
2021-02-12,Pleven,PVN,236305,2685,156,0,0,0,0,0
2021-02-12,Plovdiv,PDV,666801,6765,417,0,1,0,0,0
2021-02-12,Razgrad,RAZ,110789,936,0,0,0,0,0,0
2021-02-12,Ruse,RSE,215477,2068,132,0,0,0,0,0
2021-02-12,Shumen,SHU,172262,1424,193,0,0,0,0,0
2021-02-12,Silistra,SLS,108018,768,179,0,0,0,0,0
2021-02-12,Sliven,SLV,184119,1119,36,0,0,0,0,0
2021-02-12,Smolyan,SML,103532,694,0,0,0,0,0,0
2021-02-12,Sofiya-Grad,SOF,1328790,20405,850,641,196,0,0,0
2021-02-12,Sofiya-Oblast,SFO,226671,1960,96,40,0,0,0,0
2021-02-12,Stara Zagora,SZR,313396,2291,228,0,0,0,0,0
2021-02-12,Targovishte,TGV,110914,827,90,0,0,0,0,0
2021-02-12,Varna,VAR,469885,5234,381,0,0,0,0,0
2021-02-12,Veliko Tarnovo,VTR,232568,1736,169,0,0,0,0,0
2021-02-12,Vidin,VID,82835,611,54,0,0,0,0,0
2021-02-12,Vratsa,VRC,159470,1131,12,0,0,0,0,0
2021-02-12,Yambol,JAM,117335,746,95,0,0,0,0,0
2021-02-13,Blagoevgrad,BLG,302694,1912,0,0,0,0,0,0
2021-02-13,Burgas,BGS,409265,3952,206,30,0,0,0,0
2021-02-13,Dobrich,DOB,171809,1319,78,0,0,0,0,0
2021-02-13,Gabrovo,GAB,106598,1208,54,0,0,0,0,0
2021-02-13,Haskovo,HKV,225317,1377,120,0,0,0,0,0
2021-02-13,Kardzhali,KRZ,158204,762,0,0,0,0,0,0
2021-02-13,Kyustendil,KNL,116915,948,37,0,0,0,0,0
2021-02-13,Lovech,LOV,122546,1155,48,0,0,0,0,0
2021-02-13,Montana,MON,127001,885,0,0,0,0,0,0
2021-02-13,Pazardzhik,PAZ,252776,2048,234,0,0,0,0,0
2021-02-13,Pernik,PER,119190,817,48,0,0,0,0,0
2021-02-13,Pleven,PVN,236305,2841,96,0,0,0,0,0
2021-02-13,Plovdiv,PDV,666801,7183,354,0,0,0,0,0
2021-02-13,Razgrad,RAZ,110789,936,0,0,0,0,0,0
2021-02-13,Ruse,RSE,215477,2200,138,0,0,0,0,0
2021-02-13,Shumen,SHU,172262,1617,42,0,0,0,0,0
2021-02-13,Silistra,SLS,108018,947,18,0,0,0,0,0
2021-02-13,Sliven,SLV,184119,1155,0,0,0,0,0,0
2021-02-13,Smolyan,SML,103532,694,0,0,0,0,0,0
2021-02-13,Sofiya-Grad,SOF,1328790,22092,604,535,291,0,0,0
2021-02-13,Sofiya-Oblast,SFO,226671,2096,12,70,0,0,0,0
2021-02-13,Stara Zagora,SZR,313396,2519,87,0,0,0,0,0
2021-02-13,Targovishte,TGV,110914,917,6,0,0,0,0,0
2021-02-13,Varna,VAR,469885,5615,212,0,0,0,0,0
2021-02-13,Veliko Tarnovo,VTR,232568,1905,102,0,0,0,0,0
2021-02-13,Vidin,VID,82835,665,6,0,0,0,0,0
2021-02-13,Vratsa,VRC,159470,1143,0,0,0,0,0,0
2021-02-13,Yambol,JAM,117335,841,143,0,0,0,0,0
2021-02-14,Blagoevgrad,BLG,302694,1912,0,0,0,0,666,0
2021-02-14,Burgas,BGS,409265,4188,0,0,0,0,1110,0
2021-02-14,Dobrich,DOB,171809,1397,0,0,0,0,375,0
2021-02-14,Gabrovo,GAB,106598,1262,0,0,0,0,319,0
2021-02-14,Haskovo,HKV,225317,1497,0,0,0,0,522,0
2021-02-14,Kardzhali,KRZ,158204,762,0,0,0,0,235,0
2021-02-14,Kyustendil,KNL,116915,985,16,0,0,0,301,0
2021-02-14,Lovech,LOV,122546,1203,0,0,0,0,315,0
2021-02-14,Montana,MON,127001,885,0,0,0,0,333,0
2021-02-14,Pazardzhik,PAZ,252776,2282,36,0,0,0,687,0
2021-02-14,Pernik,PER,119190,865,0,0,0,0,279,0
2021-02-14,Pleven,PVN,236305,2937,0,0,0,0,831,0
2021-02-14,Plovdiv,PDV,666801,7537,0,0,0,0,2260,0
2021-02-14,Razgrad,RAZ,110789,936,0,0,0,0,306,0
2021-02-14,Ruse,RSE,215477,2338,0,0,0,0,626,0
2021-02-14,Shumen,SHU,172262,1659,0,0,0,0,408,0
2021-02-14,Silistra,SLS,108018,965,0,0,0,0,239,0
2021-02-14,Sliven,SLV,184119,1155,0,0,0,0,399,0
2021-02-14,Smolyan,SML,103532,694,18,0,0,0,221,0
2021-02-14,Sofiya-Grad,SOF,1328790,23522,7,409,96,0,5739,0
2021-02-14,Sofiya-Oblast,SFO,226671,2178,0,20,0,0,491,0
2021-02-14,Stara Zagora,SZR,313396,2606,0,0,0,0,733,0
2021-02-14,Targovishte,TGV,110914,923,0,0,0,0,259,0
