date,ALL
2020-06-07,
2020-06-08,16.0
2020-06-09,83.0
2020-06-10,79.0
2020-06-11,104.0
2020-06-12,93.0
2020-06-13,105.0
2020-06-14,75.0
2020-06-15,24.0
2020-06-16,51.0
2020-06-17,112.0
2020-06-18,89.0
2020-06-19,132.0
2020-06-20,81.0
2020-06-21,117.0
2020-06-22,33.0
2020-06-23,79.0
2020-06-24,130.0
2020-06-25,128.0
2020-06-26,166.0
2020-06-27,105.0
2020-06-28,112.0
2020-06-29,66.0
2020-06-30,140.0
2020-07-01,158.0
2020-07-02,165.0
2020-07-03,161.0
2020-07-04,182.0
2020-07-05,180.0
2020-07-06,63.0
2020-07-07,174.0
2020-07-08,188.0
2020-07-09,240.0
2020-07-10,330.0
2020-07-11,292.0
2020-07-12,211.0
2020-07-13,77.0
2020-07-14,159.0
2020-07-15,234.0
2020-07-16,232.0
2020-07-17,267.0
2020-07-18,298.0
2020-07-19,196.0
2020-07-20,95.0
2020-07-21,196.0
2020-07-22,325.0
2020-07-23,330.0
2020-07-24,269.0
2020-07-25,270.0
2020-07-26,189.0
2020-07-27,115.0
2020-07-28,194.0
2020-07-29,250.0
2020-07-30,284.0
2020-07-31,265.0
2020-08-01,270.0
2020-08-02,146.0
2020-08-03,119.0
2020-08-04,204.0
2020-08-05,255.0
2020-08-06,303.0
2020-08-07,297.0
2020-08-08,195.0
2020-08-09,134.0
2020-08-10,53.0
2020-08-11,116.0
2020-08-12,210.0
2020-08-13,171.0
2020-08-14,176.0
2020-08-15,174.0
2020-08-16,90.0
2020-08-17,32.0
2020-08-18,135.0
2020-08-19,169.0
2020-08-20,151.0
2020-08-21,142.0
2020-08-22,169.0
2020-08-23,96.0
2020-08-24,60.0
2020-08-25,99.0
2020-08-26,203.0
2020-08-27,162.0
2020-08-28,157.0
2020-08-29,157.0
2020-08-30,99.0
2020-08-31,26.0
2020-09-01,76.0
2020-09-02,188.0
2020-09-03,163.0
2020-09-04,158.0
2020-09-05,179.0
2020-09-06,96.0
2020-09-07,39.0
2020-09-08,57.0
2020-09-09,167.0
2020-09-10,122.0
2020-09-11,163.0
2020-09-12,201.0
2020-09-13,92.0
2020-09-14,27.0
2020-09-15,143.0
2020-09-16,155.0
2020-09-17,174.0
2020-09-18,154.0
2020-09-19,189.0
2020-09-20,86.0
2020-09-21,44.0
2020-09-22,151.0
2020-09-23,109.0
2020-09-24,160.0
2020-09-25,290.0
2020-09-26,255.0
2020-09-27,169.0
2020-09-28,58.0
2020-09-29,216.0
2020-09-30,276.0
2020-10-01,286.0
2020-10-02,263.0
2020-10-03,240.0
2020-10-04,182.0
2020-10-05,69.0
