date,Estimated,Low_90,High_90
2020-06-07,3.0,1.01,6.99
2020-06-08,2.06,1.09,3.23
2020-06-09,1.9,1.11,2.75
2020-06-10,1.71,1.05,2.42
2020-06-11,1.55,0.98,2.19
2020-06-12,1.43,0.91,2.01
2020-06-13,1.39,0.91,1.94
2020-06-14,1.31,0.85,1.82
2020-06-15,1.29,0.85,1.78
2020-06-16,1.26,0.8300000000000001,1.72
2020-06-17,1.27,0.85,1.71
2020-06-18,1.24,0.84,1.68
2020-06-19,1.23,0.84,1.66
2020-06-20,1.26,0.87,1.67
2020-06-21,1.25,0.87,1.65
2020-06-22,1.26,0.89,1.66
2020-06-23,1.26,0.88,1.63
2020-06-24,1.25,0.89,1.63
2020-06-25,1.25,0.9,1.63
2020-06-26,1.24,0.89,1.61
2020-06-27,1.26,0.92,1.63
2020-06-28,1.26,0.93,1.63
2020-06-29,1.25,0.92,1.61
2020-06-30,1.26,0.93,1.61
2020-07-01,1.27,0.94,1.61
2020-07-02,1.26,0.95,1.62
2020-07-03,1.26,0.95,1.61
2020-07-04,1.27,0.96,1.61
2020-07-05,1.26,0.95,1.59
2020-07-06,1.3,0.98,1.61
2020-07-07,1.34,1.02,1.64
2020-07-08,1.37,1.06,1.67
2020-07-09,1.34,1.04,1.64
2020-07-10,1.3,1.03,1.63
2020-07-11,1.29,1.01,1.6
2020-07-12,1.23,0.94,1.52
2020-07-13,1.19,0.91,1.49
2020-07-14,1.17,0.9,1.48
2020-07-15,1.14,0.87,1.45
2020-07-16,1.1,0.81,1.38
2020-07-17,1.1,0.81,1.38
2020-07-18,1.14,0.85,1.42
2020-07-19,1.15,0.88,1.45
2020-07-20,1.15,0.88,1.45
2020-07-21,1.15,0.87,1.43
2020-07-22,1.14,0.88,1.44
2020-07-23,1.1,0.84,1.4
2020-07-24,1.08,0.8200000000000001,1.38
2020-07-25,1.07,0.81,1.37
2020-07-26,1.04,0.78,1.34
2020-07-27,1.01,0.74,1.3
2020-07-28,1.0,0.73,1.29
2020-07-29,0.99,0.72,1.28
2020-07-30,0.98,0.7000000000000001,1.26
2020-07-31,0.98,0.7000000000000001,1.26
2020-08-01,0.99,0.73,1.3
2020-08-02,0.99,0.73,1.3
2020-08-03,1.0,0.74,1.31
2020-08-04,1.0,0.73,1.3
2020-08-05,0.99,0.73,1.3
2020-08-06,0.95,0.68,1.25
2020-08-07,0.93,0.66,1.23
2020-08-08,0.91,0.63,1.2
2020-08-09,0.85,0.58,1.16
2020-08-10,0.81,0.52,1.1
2020-08-11,0.78,0.5,1.09
2020-08-12,0.76,0.48,1.08
2020-08-13,0.75,0.47,1.08
2020-08-14,0.76,0.46,1.07
2020-08-15,0.79,0.5,1.12
2020-08-16,0.79,0.48,1.1
2020-08-17,0.78,0.48,1.11
2020-08-18,0.8,0.48,1.11
2020-08-19,0.8200000000000001,0.52,1.16
2020-08-20,0.8200000000000001,0.51,1.15
2020-08-21,0.84,0.54,1.19
2020-08-22,0.88,0.58,1.23
2020-08-23,0.89,0.58,1.23
2020-08-24,0.9,0.59,1.24
2020-08-25,0.93,0.62,1.27
2020-08-26,0.95,0.64,1.29
2020-08-27,0.92,0.61,1.26
2020-08-28,0.91,0.6,1.25
2020-08-29,0.92,0.61,1.26
2020-08-30,0.92,0.6,1.25
2020-08-31,0.91,0.58,1.23
2020-09-01,0.93,0.62,1.28
2020-09-02,0.96,0.65,1.31
2020-09-03,0.95,0.64,1.3
2020-09-04,0.94,0.63,1.29
2020-09-05,0.97,0.65,1.31
2020-09-06,0.95,0.63,1.29
2020-09-07,0.92,0.6,1.26
2020-09-08,0.94,0.62,1.28
2020-09-09,0.95,0.63,1.29
2020-09-10,0.94,0.61,1.27
2020-09-11,0.98,0.64,1.3
2020-09-12,1.01,0.68,1.34
2020-09-13,1.03,0.71,1.37
2020-09-14,1.02,0.7000000000000001,1.36
2020-09-15,1.05,0.74,1.4
2020-09-16,1.04,0.71,1.36
2020-09-17,1.01,0.6900000000000001,1.34
2020-09-18,1.02,0.71,1.36
2020-09-19,1.03,0.71,1.36
2020-09-20,1.0,0.68,1.33
2020-09-21,1.03,0.72,1.37
2020-09-22,1.08,0.77,1.42
2020-09-23,1.13,0.81,1.45
2020-09-24,1.14,0.8300000000000001,1.47
2020-09-25,1.19,0.88,1.51
2020-09-26,1.24,0.93,1.55
2020-09-27,1.26,0.95,1.56
2020-09-28,1.27,0.99,1.6
2020-09-29,1.28,1.0,1.6
2020-09-30,1.24,0.96,1.55
2020-10-01,1.18,0.9,1.48
2020-10-02,1.19,0.91,1.49
2020-10-03,1.23,0.95,1.52
2020-10-04,1.26,0.99,1.56
2020-10-05,1.32,1.05,1.61
2020-10-06,1.43,1.17,1.72
2020-10-07,1.51,1.26,1.8
2020-10-08,1.48,1.23,1.75
2020-10-09,1.51,1.27,1.78
2020-10-10,1.55,1.31,1.8
2020-10-11,1.55,1.32,1.8
2020-10-12,1.57,1.35,1.82
2020-10-13,1.62,1.41,1.87
2020-10-14,1.6,1.39,1.83
2020-10-15,1.52,1.31,1.74
2020-10-16,1.52,1.31,1.73
2020-10-17,1.56,1.36,1.77
2020-10-18,1.55,1.35,1.75
2020-10-19,1.57,1.38,1.77
2020-10-20,1.62,1.43,1.81
2020-10-21,1.59,1.41,1.78
2020-10-22,1.45,1.27,1.63
2020-10-23,1.5,1.33,1.69
2020-10-24,1.56,1.4,1.75
2020-10-25,1.59,1.43,1.77
2020-10-26,1.63,1.47,1.8
2020-10-27,1.69,1.54,1.86
2020-10-28,1.64,1.49,1.8
2020-10-29,1.51,1.36,1.66
2020-10-30,1.45,1.31,1.61
2020-10-31,1.48,1.34,1.63
2020-11-01,1.41,1.27,1.56
2020-11-02,1.39,1.25,1.53
2020-11-03,1.43,1.3,1.58
2020-11-04,1.39,1.25,1.52
2020-11-05,1.21,1.08,1.35
2020-11-06,1.22,1.09,1.36
2020-11-07,1.22,1.1,1.37
2020-11-08,1.15,1.02,1.29
2020-11-09,1.05,0.93,1.2
2020-11-10,1.1,0.97,1.24
2020-11-11,1.1,0.96,1.22
2020-11-12,0.97,0.84,1.1
2020-11-13,1.01,0.89,1.16
2020-11-14,1.12,0.98,1.24
2020-11-15,1.01,0.88,1.14
2020-11-16,0.99,0.86,1.12
2020-11-17,1.07,0.94,1.2
2020-11-18,1.08,0.95,1.21
2020-11-19,0.95,0.8200000000000001,1.08
2020-11-20,0.97,0.84,1.1
2020-11-21,1.04,0.91,1.17
2020-11-22,0.93,0.8,1.06
2020-11-23,0.87,0.75,1.02
2020-11-24,0.93,0.81,1.08
2020-11-25,0.92,0.79,1.06
2020-11-26,0.81,0.68,0.95
2020-11-27,0.85,0.71,0.98
2020-11-28,0.89,0.76,1.03
2020-11-29,0.81,0.68,0.96
2020-11-30,0.78,0.64,0.92
2020-12-01,0.9,0.76,1.04
2020-12-02,0.95,0.8200000000000001,1.1
2020-12-03,0.9,0.76,1.04
2020-12-04,0.97,0.84,1.12
2020-12-05,1.08,0.94,1.22
2020-12-06,1.01,0.88,1.16
2020-12-07,0.98,0.84,1.12
2020-12-08,1.03,0.9,1.18
2020-12-09,0.98,0.85,1.13
2020-12-10,0.85,0.71,0.99
2020-12-11,0.84,0.6900000000000001,0.97
2020-12-12,0.86,0.73,1.02
2020-12-13,0.7000000000000001,0.5700000000000001,0.86
2020-12-14,0.58,0.45,0.75
2020-12-15,0.59,0.44,0.74
2020-12-16,0.59,0.44,0.75
2020-12-17,0.51,0.37,0.6900000000000001
2020-12-18,0.58,0.42,0.74
2020-12-19,0.65,0.5,0.8300000000000001
2020-12-20,0.58,0.42,0.75
2020-12-21,0.47,0.31,0.65
2020-12-22,0.43,0.27,0.62
2020-12-23,0.4,0.23,0.59
2020-12-24,0.35,0.18,0.55
2020-12-25,0.32,0.14,0.52
2020-12-26,0.43,0.24,0.63
2020-12-27,0.5,0.3,0.6900000000000001
2020-12-28,0.56,0.38,0.78
2020-12-29,0.64,0.44,0.84
2020-12-30,0.79,0.58,0.98
2020-12-31,0.85,0.65,1.05
2021-01-01,0.88,0.6900000000000001,1.09
2021-01-02,0.93,0.73,1.13
2021-01-03,0.94,0.75,1.15
2021-01-04,0.88,0.6900000000000001,1.09
2021-01-05,0.88,0.68,1.08
2021-01-06,0.92,0.72,1.12
2021-01-07,0.95,0.74,1.14
2021-01-08,0.92,0.73,1.14
2021-01-09,0.88,0.6900000000000001,1.1
2021-01-10,0.74,0.54,0.95
2021-01-11,0.63,0.43,0.85
2021-01-12,0.62,0.42,0.85
2021-01-13,0.62,0.41,0.85
2021-01-14,0.59,0.36,0.8
2021-01-15,0.64,0.42,0.87
2021-01-16,0.71,0.49,0.95
2021-01-17,0.6900000000000001,0.46,0.92
2021-01-18,0.68,0.46,0.93
2021-01-19,0.76,0.53,1.0
2021-01-20,0.8,0.5700000000000001,1.04
2021-01-21,0.79,0.5700000000000001,1.05
2021-01-22,0.91,0.68,1.16
2021-01-23,1.03,0.79,1.26
2021-01-24,1.05,0.8200000000000001,1.29
2021-01-25,1.09,0.88,1.35
2021-01-26,1.17,0.95,1.41
2021-01-27,1.18,0.96,1.41
2021-01-28,1.1,0.89,1.34
2021-01-29,1.13,0.93,1.38
2021-01-30,1.18,0.96,1.4
2021-01-31,1.13,0.92,1.36
2021-02-01,1.16,0.95,1.39
2021-02-02,1.24,1.03,1.46
2021-02-03,1.26,1.06,1.49
2021-02-04,1.19,0.98,1.4
2021-02-05,1.24,1.04,1.46
2021-02-06,1.29,1.08,1.49
2021-02-07,1.23,1.04,1.45
2021-02-08,1.23,1.02,1.42
2021-02-09,1.27,1.07,1.47
2021-02-10,1.22,1.04,1.44
2021-02-11,1.11,0.92,1.31
2021-02-12,1.11,0.91,1.3
2021-02-13,1.15,0.95,1.34
2021-02-14,1.1,0.91,1.3
2021-02-15,1.09,0.9,1.29
2021-02-16,1.21,1.02,1.41
2021-02-17,1.2,1.01,1.39
2021-02-18,1.13,0.95,1.33
2021-02-19,1.24,1.06,1.44
2021-02-20,1.32,1.14,1.51
2021-02-21,1.32,1.15,1.52
2021-02-22,1.35,1.18,1.54
2021-02-23,1.41,1.23,1.58
2021-02-24,1.4,1.24,1.59
2021-02-25,1.25,1.09,1.43
2021-02-26,1.33,1.17,1.51
2021-02-27,1.36,1.2,1.53
2021-02-28,1.19,1.03,1.36
2021-03-01,1.18,1.03,1.36
2021-03-02,1.29,1.14,1.47
2021-03-03,1.28,1.13,1.45
2021-03-04,1.18,1.03,1.35
2021-03-05,1.27,1.12,1.44
2021-03-06,1.38,1.23,1.54
2021-03-07,1.3,1.15,1.45
2021-03-08,1.34,1.19,1.49
2021-03-09,1.45,1.3,1.59
2021-03-10,1.38,1.25,1.54
2021-03-11,1.18,1.05,1.34
2021-03-12,1.29,1.15,1.43
2021-03-13,1.37,1.24,1.52
2021-03-14,1.31,1.17,1.44
2021-03-15,1.31,1.18,1.45
2021-03-16,1.39,1.27,1.54
2021-03-17,1.34,1.21,1.47
2021-03-18,1.16,1.04,1.3
2021-03-19,1.17,1.05,1.31
2021-03-20,1.2,1.08,1.34
2021-03-21,1.05,0.93,1.19
2021-03-22,1.03,0.91,1.17
2021-03-23,1.08,0.96,1.22
2021-03-24,1.07,0.95,1.21
2021-03-25,0.94,0.8200000000000001,1.08
2021-03-26,1.01,0.89,1.15
2021-03-27,1.1,0.98,1.24
2021-03-28,0.99,0.87,1.13
2021-03-29,0.95,0.8300000000000001,1.09
2021-03-30,1.02,0.9,1.16
2021-03-31,0.99,0.87,1.13
2021-04-01,0.86,0.73,0.99
2021-04-02,0.89,0.77,1.03
2021-04-03,0.93,0.8,1.06
2021-04-04,0.79,0.66,0.92
2021-04-05,0.73,0.61,0.88
2021-04-06,0.79,0.66,0.93
2021-04-07,0.79,0.66,0.93
2021-04-08,0.68,0.55,0.8300000000000001
2021-04-09,0.76,0.63,0.91
2021-04-10,0.81,0.67,0.95
2021-04-11,0.68,0.55,0.84
2021-04-12,0.64,0.5,0.79
2021-04-13,0.7000000000000001,0.56,0.86
2021-04-14,0.72,0.58,0.88
2021-04-15,0.67,0.52,0.8200000000000001
2021-04-16,0.76,0.62,0.93
2021-04-17,0.81,0.67,0.98
2021-04-18,0.7000000000000001,0.55,0.86
2021-04-19,0.67,0.53,0.85
2021-04-20,0.74,0.59,0.91
2021-04-21,0.76,0.6,0.92
2021-04-22,0.7000000000000001,0.55,0.88
2021-04-23,0.77,0.61,0.94
2021-04-24,0.8300000000000001,0.67,1.0
2021-04-25,0.72,0.55,0.88
2021-04-26,0.7000000000000001,0.54,0.88
2021-04-27,0.67,0.5,0.84
2021-04-28,0.65,0.49,0.84
2021-04-29,0.58,0.41,0.77
2021-04-30,0.56,0.38,0.74
2021-05-01,0.48,0.3,0.67
2021-05-02,0.42,0.24,0.62
2021-05-03,0.35,0.16,0.55
2021-05-04,0.47,0.28,0.68
2021-05-05,0.5700000000000001,0.38,0.79
2021-05-06,0.68,0.48,0.89
2021-05-07,0.8300000000000001,0.63,1.04
2021-05-08,0.92,0.72,1.13
2021-05-09,0.91,0.72,1.13
2021-05-10,0.9,0.71,1.12
2021-05-11,0.78,0.58,0.99
2021-05-12,0.75,0.55,0.96
2021-05-13,0.64,0.43,0.85
2021-05-14,0.65,0.44,0.87
2021-05-15,0.64,0.43,0.87
2021-05-16,0.53,0.31,0.75
2021-05-17,0.51,0.29,0.75
2021-05-18,0.54,0.3,0.76
2021-05-19,0.55,0.32,0.79
2021-05-20,0.53,0.3,0.78
2021-05-21,0.52,0.28,0.77
2021-05-22,0.53,0.29,0.79
2021-05-23,0.48,0.23,0.74
2021-05-24,0.49,0.24,0.76
2021-05-25,0.55,0.3,0.8300000000000001
2021-05-26,0.59,0.34,0.88
2021-05-27,0.61,0.35,0.89
2021-05-28,0.6900000000000001,0.43,0.98
2021-05-29,0.73,0.47,1.02
2021-05-30,0.73,0.47,1.02
2021-05-31,0.68,0.4,0.95
2021-06-01,0.65,0.38,0.94
2021-06-02,0.64,0.37,0.94
2021-06-03,0.61,0.34,0.92
2021-06-04,0.64,0.34,0.92
2021-06-05,0.66,0.37,0.96
2021-06-06,0.63,0.34,0.94
2021-06-07,0.62,0.33,0.94
2021-06-08,0.63,0.34,0.96
2021-06-09,0.64,0.33,0.95
2021-06-10,0.63,0.33,0.96
2021-06-11,0.66,0.36,1.0
2021-06-12,0.7000000000000001,0.37,1.01
2021-06-13,0.68,0.36,1.01
2021-06-14,0.6900000000000001,0.38,1.04
2021-06-15,0.72,0.4,1.06
2021-06-16,0.73,0.41,1.08
2021-06-17,0.71,0.38,1.05
2021-06-18,0.72,0.4,1.08
2021-06-19,0.73,0.39,1.07
2021-06-20,0.7000000000000001,0.37,1.06
2021-06-21,0.6900000000000001,0.36,1.06
2021-06-22,0.7000000000000001,0.35,1.05
2021-06-23,0.7000000000000001,0.36,1.07
2021-06-24,0.6900000000000001,0.34,1.06
2021-06-25,0.71,0.37,1.1
2021-06-26,0.74,0.39,1.12
2021-06-27,0.74,0.39,1.13
2021-06-28,0.76,0.4,1.14
2021-06-29,0.79,0.44,1.19
2021-06-30,0.8200000000000001,0.46,1.21
2021-07-01,0.81,0.45,1.2
2021-07-02,0.84,0.47,1.22
2021-07-03,0.86,0.49,1.24
2021-07-04,0.8300000000000001,0.45,1.2
2021-07-05,0.8200000000000001,0.46,1.22
2021-07-06,0.8300000000000001,0.46,1.22
2021-07-07,0.8200000000000001,0.46,1.23
2021-07-08,0.8,0.43,1.2
2021-07-09,0.81,0.42,1.19
2021-07-10,0.8200000000000001,0.45,1.23
2021-07-11,0.8200000000000001,0.43,1.21
2021-07-12,0.85,0.47,1.26
2021-07-13,0.9,0.52,1.31
2021-07-14,0.93,0.55,1.34
2021-07-15,0.95,0.58,1.37
2021-07-16,0.99,0.6,1.38
2021-07-17,1.05,0.68,1.46
2021-07-18,1.06,0.68,1.45
2021-07-19,1.1,0.74,1.51
2021-07-20,1.14,0.79,1.55
2021-07-21,1.15,0.8,1.55
2021-07-22,1.14,0.79,1.53
2021-07-23,1.18,0.8300000000000001,1.56
2021-07-24,1.23,0.88,1.6
2021-07-25,1.26,0.92,1.63
2021-07-26,1.31,0.98,1.68
2021-07-27,1.43,1.09,1.77
2021-07-28,1.48,1.15,1.81
2021-07-29,1.47,1.14,1.78
2021-07-30,1.53,1.24,1.87
2021-07-31,1.58,1.3,1.91
2021-08-01,1.59,1.32,1.91
2021-08-02,1.63,1.36,1.93
2021-08-03,1.67,1.41,1.96
2021-08-04,1.67,1.41,1.94
2021-08-05,1.58,1.34,1.86
2021-08-06,1.61,1.36,1.86
2021-08-07,1.63,1.4,1.89
2021-08-08,1.61,1.39,1.87
2021-08-09,1.62,1.39,1.85
2021-08-10,1.67,1.45,1.9
2021-08-11,1.64,1.43,1.87
2021-08-12,1.53,1.33,1.76
2021-08-13,1.54,1.34,1.76
2021-08-14,1.57,1.38,1.79
2021-08-15,1.53,1.35,1.75
2021-08-16,1.54,1.35,1.74
2021-08-17,1.56,1.37,1.75
2021-08-18,1.5,1.32,1.69
2021-08-19,1.36,1.18,1.55
2021-08-20,1.37,1.2,1.56
2021-08-21,1.4,1.23,1.59
2021-08-22,1.32,1.14,1.49
2021-08-23,1.3,1.14,1.49
2021-08-24,1.33,1.17,1.52
2021-08-25,1.29,1.12,1.46
2021-08-26,1.17,1.01,1.35
2021-08-27,1.19,1.04,1.38
2021-08-28,1.21,1.06,1.4
2021-08-29,1.11,0.94,1.27
2021-08-30,1.07,0.91,1.24
2021-08-31,1.1,0.93,1.26
2021-09-01,1.05,0.89,1.22
2021-09-02,0.95,0.78,1.11
2021-09-03,0.87,0.71,1.05
2021-09-04,0.89,0.73,1.07
2021-09-05,0.8200000000000001,0.65,0.99
2021-09-06,0.8200000000000001,0.66,1.01
2021-09-07,0.92,0.75,1.1
2021-09-08,0.98,0.8200000000000001,1.17
2021-09-09,0.96,0.79,1.14
2021-09-10,1.07,0.91,1.26
2021-09-11,1.15,0.98,1.32
2021-09-12,1.27,1.05,1.52
2021-09-13,1.09,0.86,1.32
2021-09-14,1.14,0.91,1.37
2021-09-15,1.16,0.94,1.4
2021-09-16,0.96,0.74,1.2
2021-09-17,1.12,0.9,1.36
2021-09-18,1.26,1.05,1.5
2021-09-19,0.88,0.66,1.11
2021-09-20,0.8200000000000001,0.6,1.06
2021-09-21,1.03,0.8200000000000001,1.28
2021-09-22,1.03,0.81,1.27
2021-09-23,0.8300000000000001,0.61,1.07
2021-09-24,1.09,0.86,1.32
2021-09-25,1.38,1.16,1.61
2021-09-26,1.2,0.99,1.44
2021-09-27,1.19,0.98,1.42
2021-09-28,1.46,1.25,1.68
2021-09-29,1.3,1.09,1.51
2021-09-30,0.95,0.74,1.16
2021-10-01,1.1,0.88,1.3
2021-10-02,1.27,1.08,1.5
2021-10-03,1.09,0.89,1.31
2021-10-04,1.07,0.86,1.27
2021-10-05,1.27,1.07,1.48
2021-10-06,1.22,1.02,1.42
2021-10-07,0.96,0.76,1.16
2021-10-08,1.15,0.95,1.35
2021-10-09,1.34,1.15,1.54
2021-10-10,1.19,1.01,1.4
2021-10-11,1.25,1.07,1.44
2021-10-12,1.4,1.22,1.58
2021-10-13,1.35,1.17,1.52
2021-10-14,1.12,0.94,1.3
2021-10-15,1.34,1.17,1.53
2021-10-16,1.5,1.34,1.69
2021-10-17,1.31,1.15,1.49
2021-10-18,1.37,1.2,1.53
2021-10-19,1.52,1.35,1.67
2021-10-20,1.45,1.3,1.62
2021-10-21,1.15,0.99,1.3
2021-10-22,1.28,1.13,1.44
2021-10-23,1.41,1.28,1.55
2021-10-24,1.18,1.04,1.34
2021-10-25,1.14,1.02,1.29
2021-10-26,1.25,1.12,1.38
2021-10-27,1.16,1.04,1.28
2021-10-28,0.98,0.87,1.11
2021-10-29,1.02,0.91,1.15
2021-10-30,1.06,0.95,1.19
2021-10-31,0.9,0.79,1.03
2021-11-01,0.85,0.74,0.98
2021-11-02,0.94,0.8200000000000001,1.06
2021-11-03,1.14,0.99,1.32
2021-11-04,1.11,0.96,1.29
2021-11-05,0.79,0.64,0.97
2021-11-06,0.56,0.4,0.74
2021-11-07,0.66,0.48,0.8300000000000001
2021-11-08,0.8,0.63,0.99
2021-11-09,0.8300000000000001,0.65,1.01
2021-11-10,0.8300000000000001,0.65,1.02
2021-11-11,0.76,0.58,0.95
2021-11-12,0.5700000000000001,0.38,0.76
2021-11-13,0.11,0.0,0.3
2021-11-14,0.43,0.23,0.66
2021-11-15,0.72,0.52,0.95
2021-11-16,1.03,0.8300000000000001,1.26
2021-11-17,1.14,0.93,1.35
2021-11-18,1.09,0.88,1.3
2021-11-19,0.78,0.58,1.01
2021-11-20,0.6900000000000001,0.48,0.92
2021-11-21,0.68,0.47,0.92
2021-11-22,0.96,0.75,1.2
2021-11-23,1.06,0.84,1.28
2021-11-24,1.14,0.92,1.36
2021-11-25,1.02,0.81,1.25
2021-11-26,0.76,0.55,1.0
2021-11-27,0.52,0.3,0.76
2021-11-28,0.66,0.42,0.89
2021-11-29,0.87,0.65,1.13
2021-11-30,1.02,0.8,1.28
2021-12-01,1.12,0.89,1.36
2021-12-02,1.02,0.79,1.26
2021-12-03,0.76,0.54,1.02
2021-12-04,0.48,0.24,0.73
2021-12-05,0.67,0.43,0.94
2021-12-06,0.8200000000000001,0.5700000000000001,1.08
2021-12-07,1.01,0.77,1.28
2021-12-08,0.97,0.73,1.24
2021-12-09,1.07,0.8300000000000001,1.34
2021-12-10,0.75,0.5,1.01
2021-12-11,0.5,0.25,0.78
2021-12-12,0.68,0.41,0.95
2021-12-13,1.02,0.75,1.29
2021-12-14,1.01,0.74,1.28
2021-12-15,1.13,0.88,1.42
2021-12-16,1.05,0.8,1.34
2021-12-17,0.8,0.53,1.07
2021-12-18,0.7000000000000001,0.42,0.97
2021-12-19,0.8,0.53,1.09
2021-12-20,0.95,0.67,1.23
2021-12-21,1.37,1.1,1.65
2021-12-22,1.09,0.8300000000000001,1.38
2021-12-23,1.0,0.74,1.29
2021-12-24,0.93,0.67,1.22
2021-12-25,0.42,0.15,0.71
2021-12-26,0.39,0.11,0.68
2021-12-27,1.76,1.48,2.05
2021-12-28,2.23,1.99,2.5
2021-12-29,2.34,2.12,2.59
2021-12-30,1.75,1.53,1.97
2021-12-31,1.34,1.14,1.58
2022-01-01,1.07,0.86,1.3
2022-01-02,1.96,1.76,2.17
2022-01-03,2.05,1.87,2.24
2022-01-04,2.0100000000000002,1.84,2.19
2022-01-05,2.09,1.94,2.27
2022-01-06,1.79,1.6400000000000001,1.95
2022-01-07,1.2,1.06,1.37
2022-01-08,1.36,1.21,1.51
2022-01-09,1.02,0.87,1.17
2022-01-10,0.9500000000000001,0.8,1.1
2022-01-11,1.36,1.21,1.51
2022-01-12,1.47,1.33,1.62
2022-01-13,1.3800000000000001,1.24,1.52
2022-01-14,1.05,0.92,1.2
2022-01-15,1.16,1.02,1.3
2022-01-16,1.45,1.32,1.59
2022-01-17,1.6600000000000001,1.54,1.8
