date,Estimated,Low_90,High_90
2021-09-10,3.0,1.01,6.99
2021-09-11,1.37,1.08,1.67
2021-09-12,1.27,1.05,1.52
2021-09-13,1.11,0.91,1.35
2021-09-14,1.16,0.9500000000000001,1.3800000000000001
2021-09-15,1.1300000000000001,0.93,1.36
2021-09-16,0.97,0.77,1.2
2021-09-17,1.12,0.92,1.35
2021-09-18,1.19,0.98,1.4000000000000001
2021-09-19,0.88,0.68,1.1
2021-09-20,0.89,0.6900000000000001,1.12
2021-09-21,0.99,0.79,1.22
2021-09-22,0.97,0.77,1.2
2021-09-23,0.8300000000000001,0.62,1.05
2021-09-24,1.07,0.86,1.29
2021-09-25,1.25,1.05,1.48
2021-09-26,1.1400000000000001,0.9400000000000001,1.36
2021-09-27,1.2,1.01,1.43
2021-09-28,1.4000000000000001,1.21,1.62
2021-09-29,1.25,1.06,1.46
2021-09-30,1.01,0.8200000000000001,1.22
2021-10-01,1.1300000000000001,0.9400000000000001,1.34
2021-10-02,1.21,1.03,1.43
2021-10-03,1.07,0.87,1.26
2021-10-04,1.09,0.89,1.28
2021-10-05,1.23,1.05,1.44
2021-10-06,1.17,0.98,1.36
2021-10-07,0.98,0.79,1.17
2021-10-08,1.16,0.97,1.35
2021-10-09,1.27,1.1,1.48
2021-10-10,1.17,0.98,1.35
2021-10-11,1.24,1.06,1.43
2021-10-12,1.4000000000000001,1.23,1.59
2021-10-13,1.35,1.17,1.52
2021-10-14,1.1400000000000001,0.97,1.32
2021-10-15,1.36,1.2,1.55
2021-10-16,1.45,1.29,1.6300000000000001
2021-10-17,1.3,1.1400000000000001,1.47
2021-10-18,1.3800000000000001,1.23,1.56
2021-10-19,1.49,1.34,1.6600000000000001
2021-10-20,1.43,1.29,1.6
2021-10-21,1.16,1.02,1.33
2021-10-22,1.31,1.16,1.46
2021-10-23,1.3900000000000001,1.25,1.55
2021-10-24,1.17,1.03,1.32
2021-10-25,1.18,1.03,1.32
2021-10-26,1.26,1.12,1.41
2021-10-27,1.12,0.98,1.26
2021-10-28,0.89,0.76,1.05
2021-10-29,1.01,0.88,1.17
2021-10-30,1.07,0.9400000000000001,1.23
2021-10-31,0.8300000000000001,0.7000000000000001,0.99
2021-11-01,0.81,0.66,0.9500000000000001
2021-11-02,0.97,0.8200000000000001,1.11
2021-11-03,0.9500000000000001,0.81,1.1
2021-11-04,0.77,0.63,0.93
2021-11-05,0.88,0.74,1.04
2021-11-06,0.88,0.73,1.03
2021-11-07,0.49,0.34,0.65
2021-11-08,0.31,0.15,0.47000000000000003
