date,ALL
2020-06-07,62.0
2020-06-08,69.0
2020-06-09,76.0
2020-06-10,79.0
2020-06-11,79.0
2020-06-12,78.0
2020-06-13,80.0
2020-06-14,78.0
2020-06-15,80.0
2020-06-16,81.0
2020-06-17,85.0
2020-06-18,85.0
2020-06-19,87.0
2020-06-20,93.0
2020-06-21,96.0
2020-06-22,100.0
2020-06-23,104.0
2020-06-24,107.0
2020-06-25,110.0
2020-06-26,113.0
2020-06-27,120.0
2020-06-28,125.0
2020-06-29,128.0
2020-06-30,134.0
2020-07-01,141.0
2020-07-02,145.0
2020-07-03,150.0
2020-07-04,157.0
2020-07-05,162.0
2020-07-06,175.0
2020-07-07,191.0
2020-07-08,206.0
2020-07-09,211.0
2020-07-10,214.0
2020-07-11,220.0
2020-07-12,216.0
2020-07-13,214.0
2020-07-14,215.0
2020-07-15,213.0
2020-07-16,209.0
2020-07-17,211.0
2020-07-18,223.0
2020-07-19,231.0
2020-07-20,235.0
2020-07-21,242.0
2020-07-22,245.0
2020-07-23,240.0
2020-07-24,238.0
2020-07-25,239.0
2020-07-26,234.0
2020-07-27,226.0
2020-07-28,224.0
2020-07-29,223.0
2020-07-30,219.0
2020-07-31,219.0
2020-08-01,221.0
2020-08-02,221.0
2020-08-03,223.0
2020-08-04,222.0
2020-08-05,221.0
2020-08-06,211.0
2020-08-07,204.0
2020-08-08,197.0
2020-08-09,182.0
2020-08-10,168.0
2020-08-11,157.0
2020-08-12,148.0
2020-08-13,141.0
2020-08-14,139.0
2020-08-15,140.0
2020-08-16,136.0
2020-08-17,130.0
2020-08-18,130.0
2020-08-19,130.0
2020-08-20,127.0
2020-08-21,127.0
2020-08-22,132.0
2020-08-23,131.0
2020-08-24,131.0
2020-08-25,134.0
2020-08-26,136.0
2020-08-27,131.0
2020-08-28,127.0
2020-08-29,128.0
2020-08-30,126.0
2020-08-31,122.0
2020-09-01,125.0
2020-09-02,128.0
2020-09-03,126.0
2020-09-04,124.0
2020-09-05,127.0
2020-09-06,123.0
2020-09-07,117.0
2020-09-08,120.0
2020-09-09,121.0
2020-09-10,118.0
2020-09-11,123.0
2020-09-12,128.0
2020-09-13,132.0
2020-09-14,131.0
2020-09-15,136.0
2020-09-16,136.0
2020-09-17,131.0
2020-09-18,134.0
2020-09-19,135.0
2020-09-20,130.0
2020-09-21,136.0
2020-09-22,146.0
2020-09-23,157.0
2020-09-24,161.0
2020-09-25,174.0
2020-09-26,189.0
2020-09-27,199.0
2020-09-28,210.0
2020-09-29,219.0
2020-09-30,220.0
2020-10-01,215.0
2020-10-02,221.0
2020-10-03,238.0
2020-10-04,252.0
2020-10-05,276.0
2020-10-06,318.0
2020-10-07,360.0
2020-10-08,379.0
2020-10-09,415.0
2020-10-10,459.0
2020-10-11,497.0
2020-10-12,543.0
2020-10-13,608.0
2020-10-14,657.0
2020-10-15,683.0
2020-10-16,734.0
2020-10-17,811.0
2020-10-18,874.0
2020-10-19,956.0
2020-10-20,1061.0
2020-10-21,1143.0
2020-10-22,1163.0
2020-10-23,1271.0
2020-10-24,1405.0
2020-10-25,1541.0
2020-10-26,1703.0
2020-10-27,1910.0
2020-10-28,2067.0
2020-10-29,2155.0
2020-10-30,2262.0
2020-10-31,2442.0
2020-11-01,2549.0
2020-11-02,2687.0
2020-11-03,2882.0
2020-11-04,3020.0
2020-11-05,3003.0
2020-11-06,3102.0
2020-11-07,3205.0
2020-11-08,3222.0
2020-11-09,3184.0
2020-11-10,3260.0
2020-11-11,3303.0
2020-11-12,3211.0
2020-11-13,3244.0
2020-11-14,3365.0
2020-11-15,3301.0
2020-11-16,3283.0
2020-11-17,3365.0
2020-11-18,3409.0
2020-11-19,3303.0
2020-11-20,3297.0
2020-11-21,3364.0
2020-11-22,3264.0
2020-11-23,3164.0
2020-11-24,3171.0
2020-11-25,3125.0
2020-11-26,2975.0
2020-11-27,2932.0
2020-11-28,2918.0
2020-11-29,2788.0
