date,total_deaths
2020-10-13,9.0
2020-10-14,10.0
2020-10-15,11.0
2020-10-16,13.0
2020-10-17,13.0
2020-10-18,14.0
2020-10-19,17.0
2020-10-20,17.0
2020-10-21,18.0
2020-10-22,17.0
2020-10-23,16.0
2020-10-24,17.0
2020-10-25,19.0
2020-10-26,21.0
2020-10-27,24.0
2020-10-28,26.0
2020-10-29,29.0
2020-10-30,29.0
2020-10-31,30.0
2020-11-01,34.0
2020-11-02,38.0
2020-11-03,42.0
2020-11-04,47.0
2020-11-05,52.0
2020-11-06,53.0
2020-11-07,58.0
2020-11-08,61.0
2020-11-09,63.0
2020-11-10,66.0
2020-11-11,69.0
2020-11-12,68.0
2020-11-13,66.0
2020-11-14,70.0
2020-11-15,77.0
2020-11-16,88.0
2020-11-17,98.0
2020-11-18,107.0
2020-11-19,110.0
2020-11-20,108.0
2020-11-21,108.0
2020-11-22,111.0
2020-11-23,117.0
2020-11-24,126.0
2020-11-25,134.0
2020-11-26,139.0
2020-11-27,136.0
2020-11-28,134.0
2020-11-29,133.0
2020-11-30,136.0
2020-12-01,139.0
2020-12-02,144.0
2020-12-03,146.0
2020-12-04,141.0
2020-12-05,135.0
2020-12-06,134.0
2020-12-07,132.0
2020-12-08,130.0
2020-12-09,134.0
2020-12-10,133.0
2020-12-11,127.0
2020-12-12,116.0
2020-12-13,117.0
2020-12-14,125.0
2020-12-15,132.0
2020-12-16,138.0
2020-12-17,140.0
2020-12-18,136.0
2020-12-19,130.0
2020-12-20,120.0
2020-12-21,109.0
2020-12-22,99.0
2020-12-23,88.0
2020-12-24,84.0
2020-12-25,77.0
2020-12-26,66.0
2020-12-27,69.0
2020-12-28,75.0
2020-12-29,82.0
2020-12-30,82.0
2020-12-31,80.0
2021-01-01,74.0
2021-01-02,75.0
2021-01-03,67.0
2021-01-04,65.0
2021-01-05,67.0
2021-01-06,71.0
2021-01-07,67.0
2021-01-08,62.0
2021-01-09,54.0
2021-01-10,52.0
2021-01-11,54.0
2021-01-12,55.0
2021-01-13,57.0
2021-01-14,56.0
2021-01-15,51.0
2021-01-16,46.0
2021-01-17,45.0
2021-01-18,42.0
2021-01-19,48.0
2021-01-20,50.0
2021-01-21,51.0
2021-01-22,50.0
2021-01-23,45.0
2021-01-24,42.0
2021-01-25,39.0
2021-01-26,33.0
2021-01-27,31.0
2021-01-28,32.0
2021-01-29,32.0
2021-01-30,35.0
2021-01-31,37.0
2021-02-01,40.0
2021-02-02,44.0
2021-02-03,44.0
2021-02-04,43.0
2021-02-05,40.0
2021-02-06,37.0
2021-02-07,41.0
2021-02-08,43.0
2021-02-09,44.0
2021-02-10,45.0
2021-02-11,45.0
2021-02-12,41.0
2021-02-13,34.0
2021-02-14,30.0
2021-02-15,30.0
2021-02-16,32.0
2021-02-17,34.0
2021-02-18,35.0
2021-02-19,34.0
2021-02-20,36.0
2021-02-21,38.0
2021-02-22,39.0
2021-02-23,42.0
2021-02-24,46.0
2021-02-25,48.0
2021-02-26,48.0
2021-02-27,51.0
2021-02-28,57.0
2021-03-01,57.0
2021-03-02,62.0
2021-03-03,65.0
2021-03-04,63.0
2021-03-05,60.0
2021-03-06,61.0
2021-03-07,69.0
2021-03-08,81.0
2021-03-09,86.0
2021-03-10,95.0
2021-03-11,97.0
2021-03-12,96.0
2021-03-13,95.0
2021-03-14,93.0
2021-03-15,100.0
2021-03-16,105.0
2021-03-17,110.0
2021-03-18,110.0
2021-03-19,105.0
2021-03-20,99.0
2021-03-21,110.0
2021-03-22,114.0
2021-03-23,123.0
2021-03-25,134.0
