date,total_recoveries
2020-06-06,18.0
2020-06-07,22.0
2020-06-08,26.0
2020-06-09,27.0
2020-06-10,28.0
2020-06-11,28.0
2020-06-12,27.0
2020-06-13,26.0
2020-06-14,26.0
2020-06-15,29.0
2020-06-16,35.0
2020-06-17,43.0
2020-06-18,46.0
2020-06-19,50.0
2020-06-20,54.0
2020-06-21,56.0
2020-06-22,55.0
2020-06-23,60.0
2020-06-24,65.0
2020-06-25,66.0
2020-06-26,64.0
2020-06-27,60.0
2020-06-28,63.0
2020-06-29,63.0
2020-06-30,61.0
2020-07-01,64.0
2020-07-02,64.0
2020-07-03,60.0
2020-07-04,58.0
2020-07-05,51.0
2020-07-06,58.0
2020-07-07,59.0
2020-07-08,62.0
2020-07-09,64.0
2020-07-10,61.0
2020-07-11,69.0
2020-07-12,81.0
2020-07-13,92.0
2020-07-14,103.0
2020-07-15,113.0
2020-07-16,118.0
2020-07-17,113.0
2020-07-18,95.0
2020-07-19,109.0
2020-07-20,110.0
2020-07-21,150.0
2020-07-22,179.0
2020-07-23,191.0
2020-07-24,193.0
2020-07-25,194.0
2020-07-26,173.0
2020-07-27,175.0
2020-07-28,160.0
2020-07-29,160.0
2020-07-30,166.0
2020-07-31,157.0
2020-08-01,151.0
2020-08-02,159.0
2020-08-03,162.0
2020-08-04,173.0
2020-08-05,193.0
2020-08-06,201.0
2020-08-07,198.0
2020-08-08,182.0
2020-08-09,166.0
2020-08-10,177.0
2020-08-11,205.0
2020-08-12,218.0
2020-08-13,226.0
2020-08-14,219.0
2020-08-15,210.0
2020-08-16,205.0
2020-08-17,190.0
2020-08-18,170.0
2020-08-19,177.0
2020-08-20,179.0
2020-08-21,169.0
2020-08-22,146.0
2020-08-23,122.0
2020-08-24,110.0
2020-08-25,126.0
2020-08-26,137.0
2020-08-27,145.0
2020-08-28,148.0
2020-08-29,144.0
2020-08-30,140.0
2020-08-31,134.0
2020-09-01,124.0
2020-09-02,122.0
2020-09-03,131.0
2020-09-04,124.0
2020-09-05,104.0
2020-09-06,94.0
2020-09-07,92.0
2020-09-08,92.0
2020-09-09,100.0
2020-09-10,99.0
2020-09-11,97.0
2020-09-12,103.0
2020-09-13,100.0
2020-09-14,101.0
2020-09-15,108.0
2020-09-16,116.0
2020-09-17,124.0
2020-09-18,121.0
2020-09-19,112.0
2020-09-20,95.0
2020-09-21,84.0
2020-09-22,84.0
2020-09-23,89.0
2020-09-24,91.0
2020-09-25,89.0
2020-09-26,88.0
2020-09-27,99.0
2020-09-28,103.0
2020-09-29,109.0
2020-09-30,120.0
2020-10-01,126.0
2020-10-02,124.0
2020-10-03,117.0
2020-10-04,112.0
2020-10-05,111.0
2020-10-06,110.0
2020-10-07,114.0
2020-10-08,124.0
2020-10-09,122.0
2020-10-10,114.0
2020-10-11,114.0
2020-10-12,137.0
2020-10-13,154.0
2020-10-14,171.0
2020-10-15,172.0
2020-10-16,169.0
2020-10-17,165.0
2020-10-18,165.0
2020-10-19,150.0
2020-10-20,162.0
2020-10-21,181.0
2020-10-22,199.0
2020-10-23,206.0
2020-10-24,210.0
2020-10-25,213.0
2020-10-26,219.0
2020-10-27,255.0
2020-10-28,262.0
2020-10-29,273.0
2020-10-30,308.0
2020-10-31,332.0
2020-11-01,363.0
2020-11-02,393.0
2020-11-03,434.0
2020-11-04,510.0
2020-11-05,545.0
2020-11-06,562.0
2020-11-07,603.0
2020-11-08,613.0
2020-11-09,665.0
2020-11-10,689.0
2020-11-11,706.0
2020-11-12,730.0
2020-11-13,719.0
2020-11-14,716.0
2020-11-15,783.0
2020-11-16,805.0
2020-11-17,832.0
2020-11-18,895.0
2020-11-19,995.0
2020-11-20,1025.0
2020-11-21,1104.0
2020-11-22,1200.0
2020-11-23,1413.0
2020-11-24,1634.0
2020-11-25,1796.0
2020-11-26,1819.0
2020-11-27,1798.0
2020-11-28,1749.0
2020-11-29,1746.0
2020-11-30,1719.0
2020-12-01,1743.0
2020-12-02,1885.0
2020-12-03,1936.0
2020-12-04,1983.0
2020-12-05,2078.0
2020-12-06,2197.0
2020-12-07,2364.0
2020-12-08,2589.0
2020-12-09,2887.0
2020-12-10,3103.0
2020-12-11,3129.0
2020-12-12,2909.0
2020-12-13,2706.0
2020-12-14,2564.0
2020-12-15,2515.0
2020-12-16,2420.0
2020-12-17,2400.0
2020-12-18,2380.0
2020-12-19,2437.0
2020-12-20,2404.0
2020-12-21,2253.0
2020-12-22,2025.0
2020-12-23,1824.0
2020-12-24,1696.0
2020-12-25,1544.0
2020-12-26,1339.0
2020-12-27,1394.0
2020-12-28,1628.0
2020-12-29,1739.0
2020-12-30,1767.0
2020-12-31,1771.0
2021-01-01,1655.0
2021-01-02,1616.0
2021-01-03,1506.0
2021-01-04,1475.0
2021-01-05,1577.0
2021-01-06,1933.0
2021-01-07,1948.0
2021-01-08,1902.0
2021-01-09,1877.0
2021-01-10,1907.0
2021-01-11,2035.0
2021-01-12,2649.0
2021-01-13,3116.0
2021-01-14,3368.0
2021-01-15,3368.0
2021-01-16,3734.0
2021-01-17,4049.0
2021-01-18,4241.0
2021-01-19,3949.0
2021-01-20,3642.0
2021-01-21,3520.0
2021-01-22,3101.0
2021-01-23,2087.0
2021-01-24,1333.0
2021-01-25,858.0
2021-01-26,759.0
2021-01-27,811.0
2021-01-28,967.0
2021-01-29,1130.0
2021-01-30,1260.0
2021-01-31,1377.0
2021-02-01,1447.0
2021-02-02,1391.0
2021-02-03,1291.0
2021-02-04,1106.0
2021-02-05,875.0
2021-02-06,683.0
2021-02-07,538.0
2021-02-08,490.0
2021-02-09,472.0
2021-02-10,476.0
2021-02-11,510.0
2021-02-12,524.0
2021-02-13,496.0
2021-02-14,521.0
2021-02-15,519.0
2021-02-16,561.0
2021-02-17,562.0
2021-02-18,539.0
2021-02-19,490.0
2021-02-20,468.0
2021-02-21,428.0
2021-02-22,423.0
2021-02-23,436.0
2021-02-24,510.0
2021-02-25,689.0
2021-02-26,760.0
2021-02-27,820.0
2021-02-28,980.0
2021-03-01,1022.0
2021-03-02,1125.0
2021-03-03,1187.0
2021-03-04,1107.0
2021-03-05,1085.0
2021-03-06,1049.0
2021-03-07,1205.0
2021-03-08,1468.0
2021-03-09,1601.0
2021-03-10,1759.0
2021-03-11,1865.0
2021-03-12,1832.0
2021-03-13,1768.0
2021-03-14,1537.0
2021-03-15,1442.0
2021-03-16,1453.0
2021-03-17,1479.0
2021-03-18,1453.0
2021-03-19,1400.0
2021-03-20,1373.0
2021-03-21,1446.0
2021-03-22,1610.0
2021-03-23,1776.0
2021-03-24,2037.0
2021-03-25,2205.0
2021-03-26,2175.0
2021-03-27,2169.0
2021-03-28,2194.0
2021-03-29,2347.0
2021-03-30,2487.0
2021-03-31,2720.0
2021-04-01,3048.0
2021-04-02,3110.0
2021-04-03,3022.0
2021-04-04,2896.0
2021-04-05,2705.0
2021-04-06,2738.0
2021-04-07,2654.0
2021-04-08,2457.0
2021-04-09,2355.0
2021-04-10,2244.0
2021-04-11,2306.0
2021-04-12,2454.0
2021-04-13,2591.0
2021-04-14,2845.0
2021-04-15,2986.0
2021-04-16,3015.0
2021-04-17,2990.0
2021-04-18,2869.0
2021-04-19,2916.0
2021-04-20,2986.0
2021-04-21,2984.0
2021-04-22,2925.0
2021-04-23,2674.0
2021-04-24,2470.0
2021-04-25,2392.0
2021-04-26,2342.0
2021-04-27,2434.0
2021-04-28,2437.0
2021-04-29,2409.0
2021-04-30,2225.0
2021-05-01,1687.0
2021-05-02,1295.0
2021-05-03,1186.0
2021-05-04,1012.0
2021-05-05,1200.0
2021-05-06,1270.0
2021-05-07,1233.0
2021-05-08,1403.0
2021-05-09,1509.0
2021-05-10,1671.0
2021-05-11,2025.0
2021-05-12,2147.0
2021-05-13,2218.0
2021-05-14,2109.0
2021-05-15,1864.0
2021-05-16,1794.0
2021-05-17,1666.0
2021-05-18,1645.0
2021-05-19,1693.0
2021-05-20,1710.0
2021-05-21,1606.0
2021-05-22,1261.0
2021-05-23,1103.0
2021-05-24,977.0
2021-05-25,1033.0
2021-05-26,1100.0
2021-05-27,1145.0
2021-05-28,1109.0
2021-05-29,1139.0
2021-05-30,1014.0
2021-05-31,1000.0
2021-06-01,906.0
2021-06-02,893.0
2021-06-03,879.0
2021-06-04,783.0
2021-06-05,598.0
2021-06-06,476.0
2021-06-07,426.0
2021-06-08,460.0
2021-06-09,504.0
2021-06-10,518.0
2021-06-11,509.0
2021-06-12,509.0
2021-06-13,485.0
2021-06-14,546.0
2021-06-15,550.0
2021-06-16,536.0
2021-06-17,536.0
2021-06-18,485.0
2021-06-19,383.0
2021-06-20,332.0
2021-06-21,246.0
2021-06-22,221.0
2021-06-23,210.0
2021-06-24,203.0
2021-06-25,183.0
2021-06-26,136.0
2021-06-27,106.0
2021-06-28,105.0
2021-06-29,134.0
2021-06-30,170.0
2021-07-01,184.0
2021-07-02,192.0
2021-07-03,196.0
2021-07-04,198.0
2021-07-05,192.0
2021-07-06,182.0
2021-07-07,161.0
2021-07-08,158.0
2021-07-09,135.0
2021-07-10,119.0
2021-07-11,96.0
2021-07-12,120.0
2021-07-13,125.0
2021-07-14,135.0
2021-07-15,137.0
2021-07-16,127.0
2021-07-17,112.0
2021-07-18,122.0
2021-07-19,113.0
