province,date,Estimated,Low_90,High_90
Blagoevgrad,2020-07-07,3.0,1.01,6.99
Blagoevgrad,2020-07-08,2.77,1.14,4.99
Blagoevgrad,2020-07-09,2.45,1.09,4.16
Blagoevgrad,2020-07-10,2.26,1.08,3.74
Blagoevgrad,2020-07-11,2.05,0.98,3.33
Blagoevgrad,2020-07-12,1.9,0.94,3.09
Blagoevgrad,2020-07-13,1.8,0.89,2.89
Blagoevgrad,2020-07-14,1.72,0.86,2.75
Blagoevgrad,2020-07-15,1.66,0.8300000000000001,2.63
Blagoevgrad,2020-07-16,1.64,0.85,2.59
Blagoevgrad,2020-07-17,1.59,0.8200000000000001,2.49
Blagoevgrad,2020-07-18,1.58,0.8300000000000001,2.45
Blagoevgrad,2020-07-19,1.61,0.88,2.46
Blagoevgrad,2020-07-20,1.62,0.9,2.43
Blagoevgrad,2020-07-21,1.6,0.91,2.39
Blagoevgrad,2020-07-22,1.61,0.92,2.35
Blagoevgrad,2020-07-23,1.58,0.91,2.29
Blagoevgrad,2020-07-24,1.53,0.89,2.23
Blagoevgrad,2020-07-25,1.52,0.88,2.18
Blagoevgrad,2020-07-26,1.5,0.89,2.16
Blagoevgrad,2020-07-27,1.46,0.87,2.11
Blagoevgrad,2020-07-28,1.45,0.86,2.07
Blagoevgrad,2020-07-29,1.42,0.86,2.05
Blagoevgrad,2020-07-30,1.39,0.8200000000000001,1.98
Blagoevgrad,2020-07-31,1.36,0.8,1.94
Blagoevgrad,2020-08-01,1.34,0.8,1.93
Blagoevgrad,2020-08-02,1.37,0.8300000000000001,1.94
Blagoevgrad,2020-08-03,1.36,0.8200000000000001,1.91
Blagoevgrad,2020-08-04,1.35,0.84,1.92
Blagoevgrad,2020-08-05,1.33,0.81,1.87
Blagoevgrad,2020-08-06,1.29,0.79,1.84
Blagoevgrad,2020-08-07,1.26,0.76,1.8
Blagoevgrad,2020-08-08,1.21,0.72,1.75
Blagoevgrad,2020-08-09,1.18,0.6900000000000001,1.72
Blagoevgrad,2020-08-10,1.13,0.62,1.64
Blagoevgrad,2020-08-11,1.06,0.58,1.61
Blagoevgrad,2020-08-12,1.08,0.58,1.61
Blagoevgrad,2020-08-13,1.07,0.5700000000000001,1.6
Blagoevgrad,2020-08-14,1.07,0.58,1.62
Blagoevgrad,2020-08-15,1.08,0.59,1.63
Blagoevgrad,2020-08-16,1.06,0.56,1.6
Blagoevgrad,2020-08-17,1.05,0.54,1.58
Blagoevgrad,2020-08-18,1.05,0.55,1.6
Blagoevgrad,2020-08-19,1.03,0.53,1.58
Blagoevgrad,2020-08-20,1.03,0.51,1.56
Blagoevgrad,2020-08-21,1.03,0.53,1.59
Blagoevgrad,2020-08-22,1.04,0.53,1.59
Blagoevgrad,2020-08-23,1.05,0.54,1.6
Blagoevgrad,2020-08-24,1.05,0.53,1.59
Blagoevgrad,2020-08-25,1.05,0.53,1.59
Blagoevgrad,2020-08-26,1.08,0.56,1.62
Blagoevgrad,2020-08-27,1.06,0.54,1.6
Blagoevgrad,2020-08-28,1.04,0.53,1.59
Blagoevgrad,2020-08-29,1.04,0.52,1.58
Blagoevgrad,2020-08-30,1.05,0.53,1.59
Blagoevgrad,2020-08-31,1.04,0.52,1.58
Blagoevgrad,2020-09-01,1.05,0.53,1.59
Blagoevgrad,2020-09-02,1.06,0.55,1.61
Blagoevgrad,2020-09-03,1.07,0.56,1.62
Blagoevgrad,2020-09-04,1.06,0.55,1.61
Blagoevgrad,2020-09-05,1.05,0.55,1.61
Blagoevgrad,2020-09-06,1.05,0.55,1.61
Blagoevgrad,2020-09-07,1.02,0.52,1.58
Blagoevgrad,2020-09-08,1.03,0.53,1.59
Blagoevgrad,2020-09-09,1.05,0.55,1.61
Blagoevgrad,2020-09-10,1.04,0.52,1.57
Blagoevgrad,2020-09-11,1.04,0.52,1.57
Blagoevgrad,2020-09-12,1.05,0.54,1.59
Blagoevgrad,2020-09-13,1.05,0.54,1.59
Blagoevgrad,2020-09-14,1.05,0.55,1.6
Blagoevgrad,2020-09-15,1.06,0.56,1.61
Blagoevgrad,2020-09-16,1.04,0.52,1.56
Blagoevgrad,2020-09-17,1.01,0.49,1.53
Blagoevgrad,2020-09-18,1.01,0.52,1.57
Blagoevgrad,2020-09-19,1.03,0.53,1.58
Blagoevgrad,2020-09-20,1.0,0.5,1.55
Blagoevgrad,2020-09-21,1.01,0.51,1.56
Blagoevgrad,2020-09-22,1.02,0.52,1.57
Blagoevgrad,2020-09-23,1.04,0.54,1.59
Blagoevgrad,2020-09-24,1.05,0.55,1.6
Blagoevgrad,2020-09-25,1.05,0.53,1.57
Blagoevgrad,2020-09-26,1.07,0.5700000000000001,1.61
