province,date,new_cases
Blagoevgrad,2020-07-07,9.0
Blagoevgrad,2020-07-08,11.0
Blagoevgrad,2020-07-09,13.0
Blagoevgrad,2020-07-10,14.0
Blagoevgrad,2020-07-11,13.0
Blagoevgrad,2020-07-12,13.0
Blagoevgrad,2020-07-13,13.0
Blagoevgrad,2020-07-14,12.0
Blagoevgrad,2020-07-15,12.0
Blagoevgrad,2020-07-16,14.0
Blagoevgrad,2020-07-17,15.0
Blagoevgrad,2020-07-18,15.0
Blagoevgrad,2020-07-19,16.0
Blagoevgrad,2020-07-20,18.0
Blagoevgrad,2020-07-21,20.0
Blagoevgrad,2020-07-22,23.0
Blagoevgrad,2020-07-23,23.0
Blagoevgrad,2020-07-24,24.0
Blagoevgrad,2020-07-25,25.0
Blagoevgrad,2020-07-26,24.0
Blagoevgrad,2020-07-27,24.0
Blagoevgrad,2020-07-28,23.0
Blagoevgrad,2020-07-29,27.0
Blagoevgrad,2020-07-30,29.0
Blagoevgrad,2020-07-31,27.0
Blagoevgrad,2020-08-01,25.0
Blagoevgrad,2020-08-02,25.0
Blagoevgrad,2020-08-03,31.0
Blagoevgrad,2020-08-04,31.0
Blagoevgrad,2020-08-05,31.0
Blagoevgrad,2020-08-06,33.0
Blagoevgrad,2020-08-07,32.0
Blagoevgrad,2020-08-08,29.0
Blagoevgrad,2020-08-09,23.0
Blagoevgrad,2020-08-10,16.0
Blagoevgrad,2020-08-11,18.0
Blagoevgrad,2020-08-12,19.0
Blagoevgrad,2020-08-13,20.0
Blagoevgrad,2020-08-14,20.0
Blagoevgrad,2020-08-15,20.0
Blagoevgrad,2020-08-16,19.0
Blagoevgrad,2020-08-17,18.0
Blagoevgrad,2020-08-18,16.0
Blagoevgrad,2020-08-19,17.0
Blagoevgrad,2020-08-20,18.0
Blagoevgrad,2020-08-21,19.0
Blagoevgrad,2020-08-22,18.0
Blagoevgrad,2020-08-23,18.0
Blagoevgrad,2020-08-24,18.0
Blagoevgrad,2020-08-25,20.0
Blagoevgrad,2020-08-26,20.0
Blagoevgrad,2020-08-27,21.0
Blagoevgrad,2020-08-28,20.0
Blagoevgrad,2020-08-29,19.0
Blagoevgrad,2020-08-30,18.0
Blagoevgrad,2020-08-31,18.0
Blagoevgrad,2020-09-01,20.0
Blagoevgrad,2020-09-02,22.0
Blagoevgrad,2020-09-03,22.0
Blagoevgrad,2020-09-04,23.0
Blagoevgrad,2020-09-05,23.0
Blagoevgrad,2020-09-06,20.0
Blagoevgrad,2020-09-07,18.0
Blagoevgrad,2020-09-08,17.0
Blagoevgrad,2020-09-09,20.0
Blagoevgrad,2020-09-10,23.0
Blagoevgrad,2020-09-11,23.0
Blagoevgrad,2020-09-12,22.0
Blagoevgrad,2020-09-13,22.0
Blagoevgrad,2020-09-14,22.0
Blagoevgrad,2020-09-15,22.0
Blagoevgrad,2020-09-16,20.0
Blagoevgrad,2020-09-17,21.0
Blagoevgrad,2020-09-18,22.0
Blagoevgrad,2020-09-19,21.0
Blagoevgrad,2020-09-20,20.0
Blagoevgrad,2020-09-21,17.0
Blagoevgrad,2020-09-22,20.0
Blagoevgrad,2020-09-23,21.0
Blagoevgrad,2020-09-24,25.0
Blagoevgrad,2020-09-25,25.0
Blagoevgrad,2020-09-26,24.0
Blagoevgrad,2020-09-27,26.0
Blagoevgrad,2020-09-28,27.0
Blagoevgrad,2020-09-29,24.0
Blagoevgrad,2020-09-30,24.0
Blagoevgrad,2020-10-01,23.0
Blagoevgrad,2020-10-02,22.0
Blagoevgrad,2020-10-03,22.0
Blagoevgrad,2020-10-04,19.0
Blagoevgrad,2020-10-05,18.0
Blagoevgrad,2020-10-06,22.0
Blagoevgrad,2020-10-07,28.0
Blagoevgrad,2020-10-08,35.0
Blagoevgrad,2020-10-09,37.0
Blagoevgrad,2020-10-10,40.0
Blagoevgrad,2020-10-11,46.0
Blagoevgrad,2020-10-12,49.0
Blagoevgrad,2020-10-13,54.0
Blagoevgrad,2020-10-14,56.0
Blagoevgrad,2020-10-15,56.0
Blagoevgrad,2020-10-16,56.0
Blagoevgrad,2020-10-17,54.0
Blagoevgrad,2020-10-18,51.0
Blagoevgrad,2020-10-19,50.0
Blagoevgrad,2020-10-20,52.0
Blagoevgrad,2020-10-21,62.0
Blagoevgrad,2020-10-22,67.0
Blagoevgrad,2020-10-23,69.0
Blagoevgrad,2020-10-24,75.0
Blagoevgrad,2020-10-25,78.0
Blagoevgrad,2020-10-26,89.0
Blagoevgrad,2020-10-27,97.0
Blagoevgrad,2020-10-28,106.0
Blagoevgrad,2020-10-29,110.0
Blagoevgrad,2020-10-30,112.0
Blagoevgrad,2020-10-31,109.0
Blagoevgrad,2020-11-01,115.0
Blagoevgrad,2020-11-02,120.0
Blagoevgrad,2020-11-03,133.0
Blagoevgrad,2020-11-04,151.0
Blagoevgrad,2020-11-05,163.0
Blagoevgrad,2020-11-06,159.0
Blagoevgrad,2020-11-07,158.0
Blagoevgrad,2020-11-08,158.0
Blagoevgrad,2020-11-09,158.0
Blagoevgrad,2020-11-10,160.0
Blagoevgrad,2020-11-11,160.0
Blagoevgrad,2020-11-12,166.0
Blagoevgrad,2020-11-13,162.0
Blagoevgrad,2020-11-14,155.0
Blagoevgrad,2020-11-15,149.0
Blagoevgrad,2020-11-16,153.0
Blagoevgrad,2020-11-17,160.0
