date,province,code,pop,total,new_pfizer,new_astrazeneca,new_moderna,second_dose
2020-02-14,Burgas,BGS,409265,4188,0,0,0,1110
2020-02-14,Blagoevgrad,BLG,302694,1912,0,0,0,666
2020-02-14,Dobrich,DOB,171809,1397,0,0,0,375
2020-02-14,Gabrovo,GAB,106598,1262,0,0,0,319
2020-02-14,Haskovo,HKV,225317,1497,0,0,0,522
2020-02-14,Yambol,JAM,117335,984,0,0,0,296
2020-02-14,Kyustendil,KNL,116915,985,16,0,0,301
2020-02-14,Kardzhali,KRZ,158204,762,0,0,0,235
2020-02-14,Lovech,LOV,122546,1203,0,0,0,315
2020-02-14,Montana,MON,127001,885,0,0,0,333
2020-02-14,Pazardzhik,PAZ,252776,2282,36,0,0,687
2020-02-14,Plovdiv,PDV,666801,7537,0,0,0,2260
2020-02-14,Pernik,PER,119190,865,0,0,0,279
2020-02-14,Pleven,PVN,236305,2937,0,0,0,831
2020-02-14,Razgrad,RAZ,110789,936,0,0,0,306
2020-02-14,Ruse,RSE,215477,2338,0,0,0,626
2020-02-14,Sofiya-Oblast,SFO,226671,2178,0,20,0,491
2020-02-14,Shumen,SHU,172262,1659,0,0,0,408
2020-02-14,Silistra,SLS,108018,965,0,0,0,239
2020-02-14,Sliven,SLV,184119,1155,0,0,0,399
2020-02-14,Smolyan,SML,103532,694,18,0,0,221
2020-02-14,Sofiya-Grad,SOF,1328790,23522,7,409,96,5739
2020-02-14,Stara Zagora,SZR,313396,2606,0,0,0,733
2020-02-14,Targovishte,TGV,110914,923,0,0,0,259
2020-02-14,Varna,VAR,469885,5827,0,0,0,1549
2020-02-14,Vidin,VID,82835,671,0,0,0,185
2020-02-14,Vratsa,VRC,159470,1143,0,0,0,403
2020-02-14,Veliko Tarnovo,VTR,232568,2007,24,0,0,587
2020-02-15,Burgas,BGS,409265,4188,0,0,0,1110
2020-02-15,Blagoevgrad,BLG,302694,1912,0,0,0,666
2020-02-15,Dobrich,DOB,171809,1397,0,0,0,375
2020-02-15,Gabrovo,GAB,106598,1262,0,0,0,319
2020-02-15,Haskovo,HKV,225317,1497,0,0,0,522
2020-02-15,Yambol,JAM,117335,984,0,0,0,296
2020-02-15,Kyustendil,KNL,116915,985,0,0,0,301
2020-02-15,Kardzhali,KRZ,158204,762,0,0,0,235
2020-02-15,Lovech,LOV,122546,1203,0,0,0,315
2020-02-15,Montana,MON,127001,885,0,0,0,333
2020-02-15,Pazardzhik,PAZ,252776,2282,0,0,0,687
2020-02-15,Plovdiv,PDV,666801,7537,0,0,0,2260
2020-02-15,Pernik,PER,119190,865,0,0,0,279
2020-02-15,Pleven,PVN,236305,2937,0,0,0,831
2020-02-15,Razgrad,RAZ,110789,936,0,0,0,306
2020-02-15,Ruse,RSE,215477,2338,0,0,0,626
2020-02-15,Sofiya-Oblast,SFO,226671,2198,0,20,0,491
2020-02-15,Shumen,SHU,172262,1659,0,0,0,408
2020-02-15,Silistra,SLS,108018,965,0,0,0,239
2020-02-15,Sliven,SLV,184119,1155,0,0,0,399
2020-02-15,Smolyan,SML,103532,724,30,0,0,245
2020-02-15,Sofiya-Grad,SOF,1328790,23522,0,0,0,5739
2020-02-15,Stara Zagora,SZR,313396,2606,0,0,0,733
2020-02-15,Targovishte,TGV,110914,923,0,0,0,259
2020-02-15,Varna,VAR,469885,5827,0,0,0,1549
2020-02-15,Vidin,VID,82835,671,0,0,0,185
2020-02-15,Vratsa,VRC,159470,1143,0,0,0,403
2020-02-15,Veliko Tarnovo,VTR,232568,2025,18,0,0,587
2020-02-16,Burgas,BGS,409265,4317,49,80,0,1129
2020-02-16,Blagoevgrad,BLG,302694,1912,0,0,0,666
2020-02-16,Dobrich,DOB,171809,1397,0,0,0,375
2020-02-16,Gabrovo,GAB,106598,1262,0,0,0,319
2020-02-16,Haskovo,HKV,225317,1497,0,0,0,522
2020-02-16,Yambol,JAM,117335,986,2,0,0,297
2020-02-16,Kyustendil,KNL,116915,985,0,0,0,301
2020-02-16,Kardzhali,KRZ,158204,762,0,0,0,235
2020-02-16,Lovech,LOV,122546,1203,0,0,0,315
2020-02-16,Montana,MON,127001,885,0,0,0,333
2020-02-16,Pazardzhik,PAZ,252776,2282,0,0,0,687
2020-02-16,Plovdiv,PDV,666801,7721,34,150,0,2271
2020-02-16,Pernik,PER,119190,865,0,0,0,279
2020-02-16,Pleven,PVN,236305,2937,0,0,0,831
2020-02-16,Razgrad,RAZ,110789,936,0,0,0,306
2020-02-16,Ruse,RSE,215477,2338,0,0,0,626
2020-02-16,Sofiya-Oblast,SFO,226671,2279,42,39,0,533
2020-02-16,Shumen,SHU,172262,1659,0,0,0,408
2020-02-16,Silistra,SLS,108018,965,0,0,0,239
2020-02-16,Sliven,SLV,184119,1155,0,0,0,399
2020-02-16,Smolyan,SML,103532,772,48,0,0,269
2020-02-16,Sofiya-Grad,SOF,1328790,24916,395,818,181,6225
2020-02-16,Stara Zagora,SZR,313396,2648,42,0,0,774
2020-02-16,Targovishte,TGV,110914,923,0,0,0,259
2020-02-16,Varna,VAR,469885,5971,144,0,0,1550
2020-02-16,Vidin,VID,82835,671,0,0,0,185
2020-02-16,Vratsa,VRC,159470,1143,0,0,0,403
2020-02-16,Veliko Tarnovo,VTR,232568,2049,24,0,0,587
