,province,pop,total,new_pfizer,new_astrazeneca,new_moderna,second_dose
0,Burgas,409265,4188,0,0,0,1110
1,Blagoevgrad,302694,1912,0,0,0,666
2,Dobrich,171809,1397,0,0,0,375
3,Gabrovo,106598,1262,0,0,0,319
4,Haskovo,225317,1497,0,0,0,522
5,Yambol,117335,984,0,0,0,296
6,Kyustendil,116915,985,16,0,0,301
7,Kardzhali,158204,762,0,0,0,235
8,Lovech,122546,1203,0,0,0,315
9,Montana,127001,885,0,0,0,333
10,Pazardzhik,252776,2282,36,0,0,687
11,Plovdiv,666801,7537,0,0,0,2260
12,Pernik,119190,865,0,0,0,279
13,Pleven,236305,2937,0,0,0,831
14,Razgrad,110789,936,0,0,0,306
15,Ruse,215477,2338,0,0,0,626
16,Sofiya-Oblast,226671,2178,0,20,0,491
17,Shumen,172262,1659,0,0,0,408
18,Silistra,108018,965,0,0,0,239
19,Sliven,184119,1155,0,0,0,399
20,Smolyan,103532,694,18,0,0,221
21,Sofiya-Grad,1328790,23522,7,409,96,5739
22,Stara Zagora,313396,2606,0,0,0,733
23,Targovishte,110914,923,0,0,0,259
24,Varna,469885,5827,0,0,0,1549
25,Vidin,82835,671,0,0,0,185
26,Vratsa,159470,1143,0,0,0,403
27,Veliko Tarnovo,232568,2007,24,0,0,587
