date,deliv_pfizer,deliv_moderna,deliv_astrazeneca,deliv_johnson
2020-12-26,9750,0,0,
2021-01-04,25000,0,0,
2021-01-13,0,2400,0,
2021-01-18,18720,0,0,
2021-01-25,14040,0,0,
2021-01-31,0,3600,0,
2021-02-01,17550,0,0,
2021-02-06,0,0,28800,
2021-02-09,17550,0,0,
2021-02-12,0,6000,31200,
2021-02-15,22230,0,0,
2021-02-19,0,0,57600,
2021-02-22,25740,0,0,
2021-02-25,0,12000,0,
2021-02-28,0,0,52800,
2021-03-01,21060,0,0,
2021-03-08,21060,0,0,
2021-03-09,0,0,76800,
2021-03-12,0,0,28800,
2021-03-15,21060,0,0,
2021-03-19,0,33600,16800,
2021-03-22,30420,0,0,
2021-03-26,0,0,16800,
2021-03-29,31590,0,0,
2021-03-30,0,51600,0,
2021-03-31,0,0,151200,
2021-04-05,62010,0,0,
2021-04-12,62010,0,0,
2021-04-13,0,0,19200,
2021-04-15,0,0,0,14400
2021-04-18,0,38400,0,0
2021-04-19,62010,0,50400,0
2021-04-25,0,21600,0,0
2021-04-26,138060,0,14400,0
2021-05-04,273780,0,0,0
2021-05-06,0,36000,0,0
2021-05-10,273780,0,0,0
2021-05-12,0,0,0,12000
2021-05-13,0,36000,45600,0
2021-05-17,273780,0,0,0
2021-05-19,0,0,0,19200
2021-05-21,0,0,36000,0
2021-05-24,274950,0,0,0

