Дата,Ваксина,Пол,Възрастова група,Брой хоспитализирани
2021/01/01,NULL,NULL,NULL,0
2021/01/02,NULL,NULL,NULL,0
2021/01/03,NULL,NULL,NULL,0
2021/01/04,NULL,NULL,NULL,0
2021/01/05,NULL,NULL,NULL,0
2021/01/06,NULL,NULL,NULL,0
2021/01/07,NULL,NULL,NULL,0
2021/01/08,NULL,NULL,NULL,0
2021/01/09,NULL,NULL,NULL,0
2021/01/10,NULL,NULL,NULL,0
2021/01/11,NULL,NULL,NULL,0
2021/01/12,NULL,NULL,NULL,0
2021/01/13,NULL,NULL,NULL,0
2021/01/14,NULL,NULL,NULL,0
2021/01/15,NULL,NULL,NULL,0
2021/01/16,NULL,NULL,NULL,0
2021/01/17,NULL,NULL,NULL,0
2021/01/18,NULL,NULL,NULL,0
2021/01/19,NULL,NULL,NULL,0
2021/01/20,NULL,NULL,NULL,0
2021/01/21,NULL,NULL,NULL,0
2021/01/22,NULL,NULL,NULL,0
2021/01/23,NULL,NULL,NULL,0
2021/01/24,NULL,NULL,NULL,0
2021/01/25,NULL,NULL,NULL,0
2021/01/26,NULL,NULL,NULL,0
2021/01/27,NULL,NULL,NULL,0
2021/01/28,NULL,NULL,NULL,0
2021/01/29,NULL,NULL,NULL,0
2021/01/30,NULL,NULL,NULL,0
2021/01/31,NULL,NULL,NULL,0
2021/02/01,NULL,NULL,NULL,0
2021/02/02,NULL,NULL,NULL,0
2021/02/03,NULL,NULL,NULL,0
2021/02/04,NULL,NULL,NULL,0
2021/02/05,NULL,NULL,NULL,0
2021/02/06,NULL,NULL,NULL,0
2021/02/07,NULL,NULL,NULL,0
2021/02/08,NULL,NULL,NULL,0
2021/02/09,NULL,NULL,NULL,0
2021/02/10,NULL,NULL,NULL,0
2021/02/11,NULL,NULL,NULL,0
2021/02/12,NULL,NULL,NULL,0
2021/02/13,NULL,NULL,NULL,0
2021/02/14,NULL,NULL,NULL,0
2021/02/15,NULL,NULL,NULL,0
2021/02/16,NULL,NULL,NULL,0
2021/02/17,NULL,NULL,NULL,0
2021/02/18,NULL,NULL,NULL,0
2021/02/19,NULL,NULL,NULL,0
2021/02/19,COM,Жена,50 - 59,1
2021/02/21,NULL,NULL,NULL,0
2021/02/22,NULL,NULL,NULL,0
2021/02/23,NULL,NULL,NULL,0
2021/02/24,NULL,NULL,NULL,0
2021/02/25,NULL,NULL,NULL,0
2021/02/26,NULL,NULL,NULL,0
2021/02/27,NULL,NULL,NULL,0
2021/02/28,NULL,NULL,NULL,0
2021/03/01,NULL,NULL,NULL,0
2021/03/02,NULL,NULL,NULL,0
2021/03/03,NULL,NULL,NULL,0
2021/03/04,NULL,NULL,NULL,0
2021/03/05,NULL,NULL,NULL,0
2021/03/06,NULL,NULL,NULL,0
2021/03/07,NULL,NULL,NULL,0
2021/03/08,NULL,NULL,NULL,0
2021/03/09,NULL,NULL,NULL,0
2021/03/10,NULL,NULL,NULL,0
2021/03/11,NULL,NULL,NULL,0
2021/03/12,NULL,NULL,NULL,0
2021/03/13,NULL,NULL,NULL,0
2021/03/14,NULL,NULL,NULL,0
2021/03/15,NULL,NULL,NULL,0
2021/03/16,COM,Мъж,70 - 79,1
2021/03/16,NULL,NULL,NULL,0
2021/03/17,COM,Жена,50 - 59,1
2021/03/17,COM,Жена,80 - 89,1
2021/03/19,COM,Жена,80 - 89,1
2021/03/19,NULL,NULL,NULL,0
2021/03/19,COM,Жена,50 - 59,1
2021/03/21,COM,Мъж,50 - 59,1
2021/03/21,NULL,NULL,NULL,0
